id	turn1	turn2	turn3	label
5251	Find GG a 2 day rolling loud ticket	they’re selling more next week	Thank you	others
5252	Hope this isn’t confirmed	Sadly so...	Fuck	others
5253	If you know who my brother is.....don’t let him see this	I wish I understood bc everyone else is laughing	His snap has these every other day	others
5254	Same	I'm writing finals oo what's your excuse?	I’m broke and sad.	others
5255	Who bought the	Bought with earned V-Bucks	i had to buy some :[ theyre draining my wallet with those emote lol	others
5256	Kenosha?	Bro she be havin me weak asf	Nah I deleted her after she was posting her girlfriend snaking her booty n shit I was like yea nah I’m outta here	others
5257	When I first joined twitter, I thought people who get plenty LIKES are rich	And now ?	The story has change	others
5258	boys can blink and their hair grows 2 inches, girls do a 10-step process every day for 3 months, take hair, skin, & nail vitamins, and pray every morning and night to promote hair growth and it grows 1/48th of an inch	what prompted you to tweet this	tell me i’m wrong	others
5259	tsxirl	Blame VSCode plugin. It's been driving me up a wall as well. Webstorm doesn't have this issue (or VSCode ootb to be fair)	Yup! I wanted to get a screenie before I disabled it.	others
5260	Mate, your ex managers red Christmas tree got under your skin.... Does this mean that the Ev are 16 points below average then? Talking of trophy-less seasons, it's been 23 now hasn't it?	As comical as you blurts getting all hot and steamy about the Liver building being Blue!!	Nobody was in the slightest bit arsed lad. A fella doctored a picture on here and turned it red, he ended up getting banned because your lot reacted how you wanted us to. Pathetic.	others
5261	no one likes my bknee socks and i’m sAD	i LOVE THEM	THANK U	others
5262	Ok I’m so confused as to what Triple Eviction means on BBCAN lol	It means the first eviction is normal and the second one 2 people leave	I see, I think I wasn’t paying attention lol. 2 people leave at the same time! I thought it would be 2 different HOH	others
5263	"After years of Googling ""em dash"" and copy / pasting the symbol every time I needed one, I finally—accidentally—discovered the keyboard shortcut. Today is a good day."	Don't leave us in suspense.	I feel like I'd be revealing a secret handshake or something.	others
5264	Hi I really don't like complaining about this but I swear sometimes it's just UNNECESSARY for your body to mimic the feeling of your uterus being shoved into a blender for 48 hours of your life you know?	I honestly can’t relate because I don’t get those days at all but I’ll send hugs and stuff! :c	I usually don't either which is why I don't like complaining about it but thanks for the hugs!	others
5265	HAPPYBIRTHDAY NYANU	Thank you!	Nyanu no prob just have fun but dont get too drunk if you drink	others
5266	i wish you could change your username on lastfm	me too i dont want the one i have rn anymore.	yeah. i dont wanna be cannibalbf anymore but i also dont want to remake my account..........	others
5267	‘Afters (Hopper, New York Movie, 1939)’, 2018, watercolour on paper.	Gosh I loved that painting so much when I first saw it at college	First time I saw it in real life was last year at the ‘After the fall’ show at the royal academy and I spent a lot of time with it for sure :))	others
5268	This is why I have an irrational fear of sketch books	Oh gosh, I can relate to this, I've got TONS of sketchbooks I hoard but never actually draw anything in them	Yeahhhh, I would like to use some but it would just be filled with pages of abominations lol	others
5269	Relationships are like tires, you always need a spare.	Hoe	I try to be	others
5270	I SUCK AT DRIVING IN PUBGISKDNFN	me too so you can continue to do it	why me... you have hands you drive	others
5271	i am the most indie person NA prove me wrong nerds.	Hipster	i'm not like other girls	others
5272	Alternatively join me in anger over remembering these pictures exist. What gives him the right.	i'm upset	I just don't understand why this is necessary	others
5273	According to trans activists women of color are proof that men, too, can be women! Totally not racist at all.	You’re literally not even reading my messages bc you’re responding to assumptions of what i stand for rather than responding to me	You’re literally comparing women of color to men which is blatantly racist. All women are women, whether we have blonde hair, black hair, a chronic illness, are mixed race etc. we will always be women.	others
5274	Announcing Our Roster so far this for this season !	Can i get a tryout	Build ?	others
5275	1. Thought more about Shorten’s flip. Yesterday reminded me of Tampa debate with Labor having the power this time. But Libs will say anything to win - think children overboard. Shorten may have feared a similar lie he didn’t pass encryption after desperate Morrison presser.	I don't care, Shorten just showed how gutless he is not to do the right thing after the experts told them this is putting all Australians in harms way, it is and was a very dangerous bill to pass.	is there an encryption service the law doesn’t apply to?	others
5276	i wanna go to the beach w my friends an be basic an take cute pictures	Yes ma’am ‘cept it’s a whole 50 degrees	don’t rain on my parade	others
5277	What's almost as good as winning at the	Pretty cool service! Like the concept!	Thanks ! We think it's cool concept too!	others
5278	D&D 5e Through the Breach Invisible Sun Doctor Who Torg Eternity Paranoia Blades in the Dark Honey Heist	None :( but I have played lots of board games, so there's that	Those were mostly convention games and one shots but in my defense, I was working out of town for most of the year	others
5279	I'm loving your light, vulnerable letting your guard down, it's honorable	SPECIALLY WHEN THE PAST AINT BEEN THAT FRIENDLY TO YOU BUT THERES MAGIC IN THAT	YOU THE FLOWER THAT I GOTTA PROTECT	others
5280	Why would the CTF have any legal standing? It is a taxpayers federation with no mandate from Canadian taxpayers and 6 members. They are an astroturf organization for the Conservative Party of Canada. That's all.	I thought it was 5 members. They must be picking up steam!	Who knows. I would love to find out how to get so a hostile takeover by actual taxpayers can occur.	others
5281	There are zero things surprising ab	Love it! According to Pandora, I listened to 3,000 minutes of Grateful Dead in November and I totally believe that!	Whoa! That’s amazing! You’re the ultimate fan.	others
5282	It is Saint Nicholas Day!  In the Netherlands it was already yesterday, though even back in Germany I never really celebrated it... But hey, free candy is always appreciated regardless!	Free chocolateee! XD	THE BEST!! w	others
5283	Got another 4 kittens I'm fostering via	As cute as you and that's a ton of cute u should be in every Humane Society commercial such a good ambassador 4 Milwaukee hey how is your writing career i see your friend Ginger Zee has another book out she is going 2 help your national meteorolgy career she respects your work	That's very kind. is a trailblazer for women in science fields. We need more people like her. ;) Cats and weather...how can you go wrong?	others
5284	Oh boy why didn’t anyone tell me THE SHOP AROUND THE CORNER would skyrocket me to cloud nine in a heartbeat? Thank you for resuscitating my tired soul, I want to sing about this wonderful film forever	Ella! You need only have asked!	I ask now! Direct me to everything I must know about Lubitsch and every single Jimmy Stewart moment I can find!	others
5285	just so yall know this link sends you to digital links to the orchestra album so no need to pay $65 for an old cd player. youre welcome	or yaknow ,,, you can listen to it in the carnjsjsjsj	some of us cant drive autumn!!	others
5286	The general public have no connection and little realisation in what they pick up without thinking from the supermarket shelves. We need farmers, especially those from	That's not the general public's fault.	No its not, we have been presented with straight carrots and perfect apples and we don't know anything different. Meanwhile the farmers suffer.	others
5287	Then a cyst started growing on my spinal nerve root and I had sciatic pain down both legs. Still recovering. Working on stretching.	I have an inversion table. That works stretching out my spine	I have thought of getting one. I just don’t know where I put it. Most houses on the island do not have basements. So we are limited to two floors. We moved from a 3 story, 4 bedroom house in Calgary to a 2 story, 3 bedroom house. We have NO room even after all the downsizing	others
5288	My mum is such a hater but tbh if it wasn’t for her constantly doubting me I probably wouldn’t be where I am now	That’s good and bad :/	For real	others
5289	THIS IS SO CUTE. prolly won’t listen to cardi as much next year though.	ALL UR TOP SONGS R FREDO LOL	sis i am obsessed. i listened to him for 15 hours.	others
5290	When patrons ask me moderately obvious questions I want to just say sure let me google that for you.	Or you could just send them to	Yeah part of me understands some people have mitigating circumstances, like no computer access or such but there are a few where they clearly are computer literate and just can’t be bothered	others
5291	Some people at my school really want me dead, they punch me to suicide and tbh it hurts and I want to die	what?? why?? i can’t imagine any justification for this, ill kick their asses	They told me I’m useless and stuff like this, always talking shit in my back	others
5292	coconut head looking ass	DOEEEEEEE IT'S SO CUTE I LOVE IT	u sure	others
5293	PH MAN I FORGOT HOW GOOD BOOGIE BY BROCK HAMPTON WAS	WHEN THEY SEE ME IN THE STREET THEY SAY WILLY WILLY	OH GOD NEWTON WHAT HAVE U DONE VKFMVK ILL NEVER NOT BE ABLE TO WATCH THIS ON LOOP NOW	others
5294	"*Dude posts up with at the urinal* *I leave the urinal and go to wash my hands* *Dude looks back at me while at the urinal* ""Hey you got time for a quick IT question?"" ""NOPE! Not in here!"" *Finish washing my hands and leaves* Have some morals bruh, damn"	Rude, it was just a quick IT question....	When you have your hand on your dick or vice versa I don't got time for that!	others
5295	George H.W. Bush. Know your history, hoss.	Hilary Clinton ?	Only in speculation. I believe she does, but she's good at hiring hitmen to cover for her. This implies GHWB's involvement:	others
5296	Dude putting up similar stats to Kevin Kolb wants to chime in on “winning” regarding a team that just won a Super Bowl.  I’m dead, I’m asleep.	Daks won 2 of every 3 NFL starts in his career. That’s a higher winning % then your deity Carson Wentz for your own reference regarding winners. Also your SB win means exactly nothing in 2018. Totally irrelevant remark.	Wins ain’t a QB stat. Stop fooling yourself.	others
5297	I used to think i won't lose people if i photographed them! But these pictures tell how much i have lost.	U will never lose one of them tho, I assure	I won't let u go	others
5298	ive been craaavvinnggggg sushi	Same lmfao	lets go on a sushi date	others
5299	In the pub chatting to a Turkish Fella. Nice guy, interesting conversations....But! I asked him who he supported....He said he lived in North London, so he supported Arsenal AND......Spurs!!! ’redeadtome	You did tell him about your soft-spot for the Villa didn’t you?	And Leicester,Baggies, Wolves, Blues, Walsall & Coventry Unitied	others
5300	Rate my dog /10	Deffo a 10.........all dogs are 10's.........here's my 10 Jenson	Looks like a unit	others
5301	I am still v. bothered by the fact that people in the industry continued to sell these incredibly expensive horses to the Andrade family. And that they were happy to accept their money for horse shows. Everyone should be hanging their heads in shame.	sooooo glad someone finally said this as this has been going through my head during this entire scandal	I've been saying it for at least a year.	others
5302	120mph! Fastest train I’ve ever been on. @ Angoulême, France	Safe travels	Thanks Kim!	others
5303	Johnson fournette Mccaffrey or Jones pick 3 standard league thanks	Wow tough one ... humble brag! Start DJ, CMC, Jones	Haha I traded Ridley and mike Williams for fournette when he was injured	others
5304	Hahahaha yes	Katie you never shower stoppittttt	you spelled *Christa wrong	others
5305	Nothing will spin me more than when Kamina got BODIED, came back and made us think that plot armor kicked in then continued to die the second the fight was over	He wasn't dropping out until business was finished.	He a real one for that too	others
5306	Royal snakes warrior in colour.	OHHH MAN THIS LOOKS SO BLOODY COOL Also love the design of the large longsword	Ah man I love me a good big sword	others
5307	If you’re from Ekiti or you’re In Ekiti. Drop a picture of yourself here, let me tell you one secret	Later comer is allow	Fine girl! Fiiiinnnnneeeee gggiiiiirrrrllllll	others
5308	Must we see every workout y’all do? We get it, you workout lol we don’t need to see a video of it everyday	How many ppl called you a hater for this tweet?	Dawg ppl def got their panties in a bunch after that tweet. It ain’t that deep! You like your videos, don’t let my opinion stop you! Lol smh	others
5309	Paperwork is done & I'm now officially Non-Exec Director w/ which you should follow	So excited to have you on board! There is so much work to be done challenging injustice but together we are ready for it	We so are Let's do this	others
5310	t-thats a lot of time....	holy shit pav, oh my	i truly dont know what i did i-	others
5311	Hey guys! I have a lot of new followers so I thought I’d share my content! I’ve recolored all of the children & toddlers hairs in	Does this work even if I don't own all the packs?	I have one that is the complete set of all packs, but I also have them individually by pack. So you can download as many or as few as you need to I have them as separate packages by pack	others
5312	ordered a bikini from zaful on thursday and it arrived today. i was so nervous they’d take like a month	Is the sizing right?	i wasn’t home when it got delivered so i’m getting it tomorrow. remind me to get back to you	others
5313	I love notifications like these	amazing lock screen btw	Thank youu! I thought It’d be a nice thing for intruders to see	others
5314	Lmao what is youtube rewind 2018?? Where is shane & david dobrik & like good fucking channels	I skipped through the whole thing,, and wtf. The best rewinds were 2014&2015 they had the best flow and content	YES 2015 was my absolute favourite I watched it like a 1000 times oml	others
5315	If you’re out and about in town tomorrow, make sure to pop along to St Enoch’s Centre between 10:30am and 11:30am! Our fabulous choir will be singing & signing Christmas Carols to raise money for	Where in st Enoch will you be x	It’s usually outside the Mother Care on the first floor! Near the Hospice shop!	others
5316	this is insane ohhh my god	meanwhile, I’m an intellectual	i feel like you’ve listened to hamilton for wayyyy more than 8 hours but go off	others
5317	Final night in the highlands working what a place it is btw would recommend it to anyone and will defo be back up for a visit	It’s beautiful mate, I love it, the drive through the Cairngorms is something else	Cracking place and decent folk mate	others
5318	Well there it is.  I listed to 27,699 minutes That’s 461 hours That’s almost 20 FULL days of music.  Sheesh	nice	Get a life day sheesh	others
5319	Never too old to learn! Annual simulation training for NICU attendings and fellows!	I can teach cutdowns!	We would love that!!	others
5320	It’s about that time of the year to start getting all tatted up	I fee you on an emotional level with this tweet. I’m getting my ribs done tonight!	Thatta boy, it sucks so good luck	others
5321	Ummmm...Peanut Chews and Tastycake.	Peanut chews are regional??	Yep. Philly for sure, if you know them clearly the Jerz, maybe NYC too?	others
5322	The art style and animation for Into the Spiderverse is so refreshing.	The fact they put him in Jordan 1's is so dope	Makes Miles be more down to earth. I love it	others
5323	Finally I'm back 	Oh?!	Oh hey Ichigo long time no see 	others
5324	Doin' the thing. I've improved a ton this year and I'm honestly proud. Also lots of Critical Role. In order, February, July, and November.	Hi, can you teach me how to have talent? Those are so gooooood	1) Draw every day for like ten years 2) Cry a lot, probably.  =P	others
5325	Thank you	Thanks for listening Chris!	You were number 1 love it	others
5326	You’re a stupid twink	you look like a little boy	Is that there best you have. Fat whore	others
5327	Kusasa kuyanyiwa.	Maybe this is what my dream was about on that prophetess tip on the kunyiwaness of tomorrow	I'm watching the news kusasa, anything happens or doesn't happen, uzasitshela	others
5328	( ) me @ my seola fc muse: one day	// ONE DAY	// ONE DAY. i have feels to make her luda but my biased heart yells at me	others
5329	me ready for smash	no DK?!?!? X D ?	oh sry my b :[	others
5330	35 years together but today we celebrate 32 years of marriage   to the one I love.  My	Congrats!	Thanks	others
5331	Hellooooooo!! Granny	Evening Granny. Hope you’re well:)	Sparkly thank you my dear! Granny	others
5332	can someone get drunk w me tuesday at 12:30pm next week??? i want to get stupid immediately after my last exam.	Bet	yes yes yes!!!	others
5333	Guys I’m drunk	Sis... kajsjxkdkdjxjf	a bitch is going through it	others
5334	Mood	like i really cnt deal man and my advisor always talking bout take more classes bitch no GET	Bruh. Like miss I barely can keep up wit these classes & u want me add more? EAD	others
5335	Just ordered my new favorite shirt	Conservativism is a process consequence of low effort thought.	Someone seems a little jealous of my new shirt.	others
5336	Yo bro you telling me the basketball episode and diversity day episode was trash?	Or the Dundys award episode	Bro this nigga Michael Scott signed Mickey Mouse on the form for a problem that only involved him and him only, then wanted to preach about it	others
5337	BITVHZHNUJJZNZGRJGMRZI LOVE HIM SO MUCH	I CAN NOT ANYMORE! OT7 HAS GOT ME SO HARD ITS NOT EVEN FUNNY!	LITERLLY WHAT I WAS THINKING	others
5338	Delicious color wheels today! Great job...에서	Omg I Remember When We Did That	This is part 1... I had to level up...lol	others
5339	My 2019 Police Car Calendars are now on sale, featuring a different selection of my best photos in the 2 Calendars. The Wall Calendar is £8 and available at:  The Desk Calendar is £7 and available at:	- might’ve missed this elsewhere but are any of the proceeds charity bound?	I am planning on donating 10% of profits to , they do an amazing job and are a worthy cause	others
5340	Happy Birthday my favorite friend	love you .	more	others
5341	I want to do something spontaneous	Or do what I do and do something drastic to your hair like chop it all off or dye it	A. I already got a shot this week so I have had enough needles for the next year B. You know that I would NEVER cut my hair C. If I got a tattoo our grandfather would disown me sooooo	others
5342	fila shoes are NOT CUTE TO ME	Depends which ones	uhm no i don’t think so	others
5343	Prohibition was repealed 85 years ago today, thank god	Could you imagine? Would we live without Spotted Cow!? Nightmares.	Right?! I can’t even think about it	others
5344	jus checkin to b sure again, anyone wanna fall in love w me????? I’ll be here	hi	hey flimfoom it’s been a bit	others
5345	When you’re at an arts conference and you tell people you are based in	Not that there’s anything wrong with resorting to Antioch College.	Of course not! Cite you guys all the time.	others
5346	the answer is yes	how	the razor was just there i couldn't not do something with it and long story short my hand slipped	others
5347	Witch Hunt --by Dylan  I'm sick of Orange Baby And his whining every day About the wicked witch hunt He wishes would go away. As the hunt comes to an end He'll give us more than rants. When the hammer finally falls Orange Baby will crap his pants. Witch Hunt © 2018 Dylan G	Excellent, Dylan!	Thanks!	others
5348	Update to all Blizzard Irvine employees: apparently it’s called “rain”, which is a noun meaning “water falling in drops condensed from vapor in the atmosphere.” I know it’s weird but don’t panic, it shouldn’t stain and won’t hurt our dogs.	How are the campus cats coping?	Well they're smart so curled up on a team couch somewhere cozy I expect.	others
5349	Welcome to our office. Collective choice theory meets Christmas chocolate	I refer my learned friend and colleague to Arrow's Impossibility Theorem.....	As long as we aren’t in a Condorcet paradox	others
5350	u kno when i tweeted this i thought damn this is gonna be a banger this is so HUMILIATINGGGGGG	Me with all my tweets.	it b like dat sometimes	others
5351	if anyone wants to send me soft pics of their pets today.... i would be grateful	In the third pic, he fell asleep on my arm while I was waiting to wash him	ohhhhhhhhhhhhhhhhhhh my goodness they are absolutely!! precious!!!!!	others
5352	Championships is the best album of 2018 easily for me	Daytona	Championships>> imo	others
5353	who did this	I'm coming for you Ryan	PLEASE I WANNA LEAVE	others
5354	I've been saying I need vodka wayy to much these days. I didn't get it yet but I still need it.	We will fix that soon	We better	others
5355	I hate that I’m on the verge of crying every second.	I love you text me if you need me.	I love you too	others
5356	". Hey, this is bullshit. Our kids lives are at stake. ""Manchin may be the ranking member, but he’s part of a team when it comes to issues of climate change, issues of the environment,” said Sen. Cory Booker."	The thought that Manchin will contribute anything towards a clean energy future is absurd	One wonders if Cory is a psychopath	others
5357	Do I... dare finally play ?	We should co op even though I kinda suck lmao	Yo we can suck together and laugh at our hilarious downfall, I'm so down for it. <3	others
5358	THANK YOU ALLLL	congrats	thank u!	others
5359	So tomorrow it either going be a good or bad day.  I get Hugh Jackman tickets and I have successful trip to the hair dressers Or I don't get tickets and my hair stays the colour black	buy the presale tickets	There pre sale tickets?  Where?	others
5360	Do any of you have rarepairs in HS/FS??  Tell me about them, i just feel like drawing some good rarepairs :)	So many rarepairs. So many amazing f/f rarepairs in HS. But right now? I'm thinking about that good Roserezi. Macabre Seer buddies.	Seer guls	others
5361	i love u even if im mean to u bc u deserve it — i’m Nice	WHAT THE FUCK IS WRONG WITH UR ATTITUDE	I KNEW IT WAS MARCY	others
5362	Lmfaoooo not Indian style	Yes! he made himself comfortable	aye i would’ve done the same thing	others
5363	I mean I'd go read Lilith's Cord for FC material But if I wanted to use Hille for Ari, it'd have to be his white hair.	Black hair suits too	But the blue eyes don't.	others
5364	25-35 yaş arası olup evinde şu halıdan olmayan yok gibi	Ben	istisna.....	others
5365	The existence of PowerPoint has a lot to answer for.	That's like saying the existence of screwdrivers has a lot to answer for lol	Fair point. Mind, A screwdriver tells you you can turn a screw. Powerpoint lets you be a Designer	others
5366	STAGEYS! I’m helping out with this event and we need donations! If you have any Theatre stuff you can donate for this event, get in touch!	I think I’ve got a couple of sopranos somewhere you can have.	I prefer tenors, but thanks!	others
5367	Me perdí el party de ayer por estar estudiando. Hoy, mínimo, me arrastro.	Nena tenias que irrrrr	I knowwwwwww:(	others
5368	Have you ever loved someone so much You'd give an arm for And you know you are their armor And you will destroy anyone who would try to harm her But what happens when karma Turns right around and bites you What happens when you become the main source of her pain	Where's the real Robs please?	LMAO Please I'm just singing.	others
5369	Lmaoooo so basically what you saying is a woman hurt you, you’re bitter and you now like men? Got it	Why is dat man so angry	Girl look at his avi. Nigga got the high school grad pic up and he prolly like 40	others
5370	I told my professor that I couldn’t go to class because of the rain and she said someone can ft me so I can listen to speeches wow I love her	What fucking class is this my professors would never	My communications class bro lmao I was on ft in bed like “uh huh yeah ok”	others
5371	Discussing . I said she’s Timmy and Pat hahaha and she says I’m Joey and William	Facts	Oh hey, it’s us with zaddy	others
5372	Seeing girls with stunning long hair makes me ask myself WHY DID I CUT MINE cause I genuinely look like lord farquaad on a good day	Nah be thankful u suit it!! Not many people can pull off short hair + u look class n a know it’s tru cause my mum said so	Well Maria is always right	others
5373	Does gay really have a look y’all? Bc when I tell people that I am, they don’t wanna believe me or “see me being gay” and I’m like?.. okay.	straight has a look. IGNORANT lmao	thank you	others
5374	Damn I wish they didnt show judge Patti Mayonnaise's face cause I just knew she was black! Lol	she is clearly black & light skinned	wait what? I called her Patti mayonnaise cause she said like the character from Doug.. ik she was black lol	others
5375	the devil wears Prada too tbh jdjxjxk I'm literally rewatching it rn I wish I was joking	YOUR TASTE i loev everyone in the movie so much can they do the sequel already	PLEASE we need a sequel so andy can dump her annoying ass bf	others
5376	his frog smile	MOVE HES BEAUTIFUL	HES BEAUTIFUL.... AND A FROG	others
5377	Big 2018 and people are still on 02 lmao pathetic	Giff gaff n Tesco mobile, serves these people reyt for choosing pathetic providers	Wankers mate. Coming on twitter to complain about O2 like as if I told them to have that beta male network provider. Weirdos	others
5378	It’s AD!!!	Take my joke. Fine.	I got it from lol blame him	others
5379	Am I a heartless person to not like A Star is Born? :'(	Yes!	aw no. am i seeing you monday? maybe you can change my mind.	others
5380	all I did was google,super glad I didn’t WebMD it I’ve literally never had the flu before but this is my fault it’s on me I don’t even remember when my last flu shot was I was asking for it and I got it and now I’m gonna die	I think u got aids not the flu you have been fishing in some bad ponds up in colorado	I’m gonna fish in your pobd	others
5381	HELLO IT’S MY BIRTHDAY	HAPPY BIRTHDAY BEAUTIFUL BITCH LIVE IT UP BABE	THANKS H*E	others
5382	Would one of my lovely British friends consider grabbing me a copy of this. Please? Pretty please with Sherlock on it?	(There's an article in the current Best of British too.)	Thank you. We get that magazine here. My local newsagent stocks it. It will keep an eye out for it. We're behind, so probably won't see it here until about February.	others
5383	So Barnaby Joyce wants spouses to be able to work with their partners in Parliament again. In other words, his new partner, Vicki Campion is unemployable and he wants to give her a job. He is shameless.	But when they have got 4 children to raise and a home and all that that entails, leave them at home and find a new wife!	Exactly. He's a grub	others
5384	What the fuck. That must suck ass.	I dated one of them....it was very sad. Also a very short romance!	Same. I think he was about 3 inches when hard. We only dated a short time as well lol	others
5385	So how many of you guys are picking up Smash Ultimate tonight?	Playing in a smash tournament tonight and then patiently waiting for it to come out ;3	A tourney sounds like fun!	others
5386	Are sweatpants/ hoodie appropriate attire to trans Siberian orchestra? Or do I have to put on actual clothes like a real human being?	You should wear a tuxedo. That’s what I am wearing	Can I bring those old-timey binoculars attached to a stick?!	others
5387	It's all one way traffic, I'd say they'd score 1 or 2 in second half	You’re a good un	Tell me something I don't know	others
5388	Damn y’all paid with cash? This is when I just say fuck it and put it on the card	is this dude saying he makes money like that playing madden? lmao	I bet it’s like 50 of them and they split the check lol	others
5389	Jimmy butler didn’t stand a chance luckily a white woman saved him	I never knew til I read his story how that woman took him in	It’s always a white family saving the day	others
5390	Never again.	nEvEr	Hi pls drag me	others
5391	riding the subway with a	you are supporting the	It me, a monster	others
5392	Saw this at hospital on my way out Catholic hospital naturally has stained glass Being the incredibly lapse lil Catholic boy that I am Seeing this still moves me	ill just leave this right here...	Yes I'm aware of what the imagery implies I went to Catholic school 12 years. No I never became an alter boy. Even at 12 I knew better.	others
5393	Awwww	I was sooooooooooo happy this morning !	Just saw it and I'm so happy too! Have you tried this ?	others
5394	Y’all don’t know grinding till you’ve met man. I’ve seen this dude go from 400 to 50k right before my eyes. Happy to call u a friend, when I get madden for Xbox imma bust yo cheeks. Here’s to 100k	I’ll straight slap them cheeks “no homo” thanks bro	Have a blessed day man! Go get u some 50k pussy!	others
5395	Why is my son a mess this boy done peed outside on the fence at school	LMAO!!!!	His teacher was just laughing I was like rlly Zay	others
5396	بص هو انا اتفرجت علي ميسي ومشوفتش احسن منه بس مشوفتش بيليه فعشان انا عمده مبحكمش علي حاجه من غير ماشوفها	كلاام عمد برضو يخوناا بس بيليه بيهري برضو وميسي اعلي منه حتي من غير منتفرج عليه	Maybe	others
5397	I need a group to get me good at Ultimate fast. I know a lot of it is purely up to me. But I mean people who can practice with me every week and help me advance and correct mistakes along the way.	me kyle and mike are hanging out on lauch of the game your welcome to come	Yooo! I seriously appreciate the invite! I unfortunately cant tonight BUT if you guys want to hang at some point this weekend id be down!	others
5398	Both a billionaire and a beggar have 24 hours in a day. What choices do you make in the next 24??	Rob the billionaire.	Now that's a bold choice! I like it lol	others
5399	am i the only one that isn’t up colliscools ass	nope /:	a mutual w taste!!	others
5400	Raid night fuel for Friday night!	Lagavulin is spectacular.	I love their scotch!! I’m excited to try this one. Some day	others
5401	i feel this too ://	It’s such a tricky situation :( like you know you have to get your shit together but you also can’t erase bts off your life they are so important for ur well being? Gotta find a middle, ground which is the hardest part sigh	HHHHHH i depend on them a lot for my happiness,, which i know is wrong and unhealthy but idk what else to hold onto,, like you said finding a middle ground is hard :/	others
5402	I'M SCREAMING	oh my GODDDDDDDDD	I love it so much it hurts	others
5403	HELLO IT’S MY BIRTHDAY	happy birthday sandy!!	thank u rhys <3	others
5404	After reading this I went straight to her Avi	And?	No word's	others
5405	If I had to see it so do y'all.	I’m blocking you damn smh	Me!? That's crazy.  I didn't ask to see it either.	others
5406	"I LOVE THEM SO MUCH THEY'RE THE CUTEST ""they like us! ...man we're embarrassing"""	Is there a fuller video to this or was that it?	this is it lol, they won hottest record of the year	others
5407	Peppermint mocha from Starbucks is gross af.  That is all.	I hate how much the chocolate syrup sits at the bottom so at the end of your drink you just get a bunch of chalky shit	I know!! I got to the bottom and was like ooookay nah	others
5408	genuinely the worst music take i’ve seen this year	another year-end list topped	bro how the fuck did 3 of the best songs on this album make this shit list and u still forget the trash he did w nicki minaj	others
5409	My day! What a crock of shit! Now where’s the vodka	Ouch. Hope you've got insurance...	It’s covered by the housing association , least my gazelles are clean now haha	others
5410	Yes, I deleted these pictures on accident. Yes, I was fried. Yes, I’m still graduating.  Yes, I’m still smiling, but it was anything but easy. Texas Tech University  B.B.A in Management Information Systems Minor in Computer Science  December 15th	Mannnn you fumbled	Lmao I suck so bad	others
5411	HELLO I want to see more awesome art from the people on twitter and making some new friends!!! So share your art below and i'll retweet it!!! I'll also retweet your art and I'll follow back instantly!!!! I'd love to keep this sweet meme alive!!!!	Muh Art	Sorry for the late reply~~ Nice art, I love it!!	others
5412	I had a dream that I was typing in 80085 on my calculator and showing everyone at work	Should’ve been you typing in 3\/3/\/ in a calculator instead	That is the best calc trick I have even seen even	others
5413	I just watched the mr Connor lookalike who works at my school resignedly follow a very small kindergartener down the hall as he ran and made chicken noises, they disappeared into a classroom, and he emerged carrying the still-growing small child under his arm	im sobbing	This dude is a fucjing rockstar and he has the best button up shirts. He’s the skinniest put-together twink imaginable and it is impossible for me to wrap my head around him having a wife and new child	others
5414	I need words of encouragement.	Keep your head up and don't let anything or anyone get in the way of you achieving your dreams. There's no reason you can't have everything out of this life that you want. You're such a beautiful person inside and out so never forget that	Thank you mama	others
5415	Can’t, crafting the most elaborate and amazing response to, “how’s your day.”	HEY BB, WYD?	Fuck yeah, that’s the stuff.	others
5416	Sigh. RIP Pete Shelley. Ever Fallen In Love is a perfect song.	No, really? Ever Fallen In Love With Someone You Shouldn't Have Fallen In Love With? is a tag line for my latest book (that I'm writing now, I mean).	A great title too. Good luck!	others
5417	How is it still not working	Apparently it won't be fixed till tomorrow	What a joke	others
5418	Ight who down ?	Shit dank af bro	Bout to see what’s up	others
5419	This dude has a vagina now.	awesome and congrats, i didn't think it was for another week though	Got flipped-turned upside-down on the 26th ^^	others
5420	WE ALL ARE SUCH BABIES	Low key didn’t recognize myself	I didn’t either. I honestly forgot I had long blonde hair once.	others
5421	What’s in massive addy?	The way I hate dat word ehn	You have no idea	others
5422	Looking forward to this evening. Slightly late birthday shenanigans.	Hope you have a great evening. We’re going next week.	We have found the first half to be sufficiently amusing. I consider myself to be mid shenanigan.	others
5423	someone get they mans	This is what happens when you message him drunk	I've been trying to get him to send me singing videos for weeks, if I knew all it needed was me drunk texting him once I would've done it a long time ago	others
5424	Hard same	Exact opposite & appreciating that you tweeted this. I had assumed that my indifference was due to being Autistic.	Every time I try to cultivate this indifference it fails. I think it’s the strategy my brain decided would help with bullies. a) people might not pick on me if they like me b) crap do they actually like me c) lots of over analysing and second guessing	others
5425	i tried to mail a package yesterday and the post office was closed bc that old clown died. DID HE DIE SENDING A LETTER?????  if so, GET A PAPERCUT AND DIE, YOU HEARTLESS BITCH!!!! ALSO THE POST OFFICE SHOULD BE OPEN ON A *WEDNESDAY*	it was a National Day of Mourning	THE GOVERNMENT CANT LEGISLATE HOW I FEEL!!!!!!	others
